Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample01,0,0.419381706027477,0.132346433503247,0.043777443224241,0.388342487873388,0.0419972471257833,0.155854884004935,0,0.0288687258985616,0,0.367838311953773,0,0.0679326268723976,0.129730595069351,0,0,0,0.0424166847464764,0,0.046573126424285,0,0.356928670760734,0,0.724129549595158,0.734881819438205,2.22198894348465
sample02,0,0.50355964808798,0.176390150555398,0.129156625340581,0.207803948730307,0.0318083887348172,0.183257971706718,0.029417588998879,0.082680212791575,0,0.397193908391952,0,0.0950225041110895,0.0132048720707464,0,0,0,0.0318759886534791,0,0.0920654686583543,0.00190074983665942,0.151695397098845,0,0.809997246178731,0.66860135113194,2.12703342376738
sample03,0,0.319503434786889,0.110106942281613,0.0867830748223643,0.5560910979658,0,0.0757874798766432,0.0171997668826685,0.212918065041305,0,0.50221946492275,0.00605272517941726,0.151480496899642,0.0572636165877354,0,0,0,0.0072260244382238,0,0.0759842917190495,0.0414659838024608,0.0731726341774301,0,0.802995462440945,0.662008292292683,2.29325509938399
sample04,0,0.300058586540762,0.0880067296944201,0,0.403773799441977,0.0349448607452159,0.279465640632371,0,0,0,0.392885843626211,0,0.109022015309718,0.0356367653110267,0,0,0,0.0847577527710206,0,0.084367162151028,0.0066777428323218,0.51939056376386,0,0.816449664597877,0.675385367468749,2.33898746281993
sample05,0,0.354161434598226,0.0746163451170509,0,0.482639896175938,0,0.0421402038837662,0.0732700905764737,0.182674850723305,0,0.460539267956367,0,0.151084667103561,0.119499351452782,0,0,0,0.0172192714528384,0,0.0222229151966325,0,0.236152567217313,0,0.766112827420045,0.696597861192879,2.21622086145425
sample06,0.00305066961608032,0.382970541001323,0.14727097429667,0.154181422191383,0.21960884486165,0,0.288703775550915,0,0.0716308790465858,0,0.574260792254092,0,0.108543890177598,0.0495871882999393,0,0,0,0.00550519868966789,0,0,0.000602088378700931,0.223535455935041,0,0.821973439290424,0.648820568012672,2.22945172029965
sample07,0.105797989949499,0.249959635174415,0.049570274423039,0.104785531583445,0.403307780539178,0,0.0573065934158582,0.0284598662906296,0.219522547249454,0,0.612880809189296,0,0.163728498728455,0.0513177102403733,0,0,0,0.0136602818847704,0,0,0,0.0742785491553023,0,0.783852794812596,0.662226508626789,2.13457606782372
sample08,0.0118892338879633,0.196585993518856,0.0481969762885071,0,0.556263587324258,0,0.0351878304295602,0,0.267403173921518,0,0.473370382061233,0,0.161539385471313,0.229202108367941,0,0,0,0.0165040587790212,0,0.0622898108227466,0,0.596162077195085,0,0.760826723258063,0.697761676209876,2.654594618068
sample09,0.00455174363650603,0.334601242723353,0.0968277660055697,0.042020682625439,0.470950744923836,0.0704472756931215,0.181011034957058,0,0.0561680607309848,0,0.39180109095872,0,0.0607699665725685,0.0735499447564777,0,0.00538206494756987,0,0.0536486629043779,0,0,0,0.400572084066568,0,0.807034442586335,0.670810443444211,2.24230236550215
sample10,0,0.246553734200035,0.000289921511135535,0.102412274328661,0.619728539544751,0.0820491169077769,0.13279582720135,0,0.135341004439544,0,0.597089929179066,0,0.115537047769938,0.111977997148602,0,0,0,0.01535700772921,0,0.0465858807919781,0,0.461643241405203,0,0.745003174932623,0.701882406747311,2.66736152215725
sample11,0.0739766795002999,0.244295971098048,0.0267366478951324,0.0364934611386058,0.719955843807641,0.0738338973255983,0.143142651520279,0,0.116111729759229,0,0.386925768408084,0,0.131171379715368,0.0231830741569804,0,0,0,0.0374897771966293,0,0,0,0.304009225538082,0,0.782875068676652,0.673109599608278,2.31732610705998
sample12,0,0.393069576998101,0.0922839631181912,0.0524117848117306,0.297163953044373,0.0343984160100982,0.129220340678397,0,0.0613090982982507,0,0.365895409828011,0,0.0270010985871486,0.0688984869659815,0,0.0108341071901442,0,0.0701453086941918,0,0.0258280229092527,0,0.427483205317854,0,0.830619112113218,0.656734801905401,2.05594277245172
sample13,0.0134281922578292,0.309744989531748,0.0358417712572627,0.0248637324328424,0.437046900539271,0.0672834881754823,0.0237515393379153,0,0.168933453847538,0,0.343165100784757,0.0611770889574026,0.193497601214664,0.133849345142392,0,0,0,0.0517835831047471,0,0.0800268801065292,0,0.67621553515887,0,0.744532327905255,0.710109875463551,2.62060920184925
sample14,0,0.374344679970116,0.183902140490789,0.05840661402243,0.361070073456049,0.0698255614020963,0.250111830100355,0,0.00643964457362263,0,0.464603210332912,0,0.155382811072982,0.0100501053357491,0,0,0,0.0989220554167416,0,0.00687059073697752,0,0.418633376611351,0,0.811630668059914,0.675554912242013,2.45856269352217
sample15,0.0353195603638388,0.311227682456736,0.0203932376659422,0,0.471558593398306,0.148410302376831,0.117579258466915,0,0.0842736534947734,0,0.349600780351368,0,0.216708512031066,0,0,0,0,0.0910757489615382,0,0,0,0.52645670914438,0,0.785458975133964,0.68076498561445,2.37260403871169
sample16,0,0.211437721467699,0.03473407255871,0.0101844048587832,0.400429305950744,0.0186828974580221,0.208883835558419,0,0.11477578861485,0,0.437281475634984,0,0.108692047021785,0.148161888142129,0,0,0,0.0569406516050489,0.00757257858820951,0,0,0.844931013973799,0,0.792531698178997,0.666890466944472,2.60270768143318
sample17,0,0.330013864755927,0.0545010613835207,0,0.330914257255034,0.00274699107760262,0.259749387285993,0,0.075012232104287,0,0.510238929264187,0,0.300415556931809,0.0899588127686855,0,0,0,0.0309192334804587,0,0.0556473665562,0,0.889431447448971,0,0.748066960217419,0.703426350298806,2.92954914031268
sample18,0,0.299930858815069,0.149645233607748,0,0.237299523287907,0.0367110356420109,0.291815335496284,0,0,0,0.410764366403708,0,0.517936302992662,0.116477855038546,0,0,0,0.0348961974373392,0,0.0293064121171573,0,0.55096154449229,0,0.812087124696894,0.672491360563037,2.67574466533072
sample19,0.0158791508056739,0.289297943901456,0.0737158960099247,0,0.23571627063975,0.100185311206801,0.198099973990062,0,0,0.0253286294407825,0.237449484413966,0,0.595570361302475,0,0.0671361856722442,0,0,0.129652459649804,0,0.146303032714531,0,0.701303425951668,0,0.767088379511489,0.697842760696664,2.81563812569914
sample20,0.0167279141085083,0.184158975953446,0.0353194753642931,0,0.422508687217822,0.0132975294328638,0.132777826341803,0,0.184100401479424,0,0.398033363439822,0,0.299987170496824,0.147759556305626,0.003739877412883,0,0,0.048031745403683,0,0.0666102061543245,0,0.780631049440562,0,0.765316479375119,0.692111093172365,2.73368377855188
sample21,0,0.343252766138616,0.0568325950192032,0.0418824183866164,0.297394605530041,0,0.279935957125018,0,0.0604549507595421,0,0.431938392088797,0,0.493084157751585,0.13492951531841,0,0,0,0.0128210669530071,0,0.0301402750271147,0,0.6506831938843,0,0.749362232331638,0.709649910784224,2.83334989398225
sample22,0.00443807155371387,0.279946950845003,0.135391688193029,0,0.364517147740537,0,0.19271619052887,0,0.0610716028550266,0,0.417666301284913,0,0.237760488118068,0.0581378808888427,0.000771096007115142,0,0.000452838332631742,0.0135674873278249,0,0.0107179030597959,0.00249367506955758,0.18171349079648,0,0.859311951829005,0.642582281273473,1.96136281260141
sample23,0,0.214172300623803,0.0349276943078276,0,0.492127140917687,0.021277199723463,0.460004773905407,0,0.0761689060806429,0,0.759321889403613,0,0.367378664129846,0.0214469530684395,0,0,0,0.010237716949589,0,0.0814721951253555,0,0.453933302331703,0,0.728116757178648,0.721691052851895,2.99246873656738
sample24,0,0.382390801007703,0.0817805262308336,0.00798654761266837,0.24318091480538,0.0237017439867908,0.166181526483756,0,0.0382097000420226,0,0.334570096161745,0,0.130453371639685,0.0705255095466834,0,0,0,0.0894355273366646,0,0.0130141035949731,0,0.195499780050918,0,0.861367265531991,0.646626940253585,1.77693014849982
sample25,0,0.270079808249592,0.201821484806948,0.120897495738926,0.454594126902682,0,0.440320891853794,0,0,0,0.471105870775689,0,0.153779727785018,0.0456921063421373,0.00268191404887062,0,0.00523766114713572,0.0112043640955223,0.0117426153129047,0.0108906499087434,0,0.148606762987514,0,0.844304232172041,0.647260917064759,2.34865547995548
sample26,0,0.522216006958874,0.210391624622797,0.224071572915364,0.170367348281337,0,0.479640926622047,0.0133450519799463,0,0,0.519925996529042,0,0.142066490221242,0.0981131422641883,0,0,0.00932521809522763,0.00897363412354636,0.00286467655519699,0.0247068652675134,0.00725550324073067,0.169018456240466,0,0.859098939402036,0.636595928438841,2.60228251391752
sample27,0,0.303547023655239,0.0979935371559096,0.0309025873523003,0.376675426071983,0,0.247140146964585,0,0.0738793427232514,0,0.535600659957166,0,0.280348025442066,0.0842660117706347,0.00158650140537725,0,0,0.0170508533439633,0.0315896614183805,0.00565263536582545,0.00289445114402955,0.186080479029814,0,0.840649426850914,0.653392417677746,2.27520734280053
sample28,0,0.412311153276171,0.0583706926349162,0,0.294945173499649,0.0958081851795994,0.378911772645408,0,0,0,0.419694023334699,0,0.0843774470259634,0.0315529500312995,0,0,0,0.0464994418096566,0.0150204434986928,0,0,0.38795374944956,0,0.786964566267711,0.690218860568636,2.22544503238561
sample29,0,0.597023702753693,0.28603502770858,0.0792781437073226,0.336119100042573,0.0136935142965982,0.193666193670606,0,0.0281278467650261,0,0.457011950074496,0,0.0444281608818337,0.0677042186888184,0,0,0,0.0194115572010585,0.0318691834845971,0,0,0.233136551800363,0,0.854834257981289,0.629967327895139,2.38750515107557
sample30,0.0123404191525753,0.370355423415828,0.218056570937534,0.032527482846198,0.305531938062209,0,0.287900681082435,0,0.0823580575878342,0,0.664599847982548,0,0.0927661839722525,0.0487924975190854,0,0,0.0143394352275365,0,0.015297196684912,0,0,0.10279606572147,0,0.846947669760345,0.624272393739973,2.24766180019242
