"","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37"
"U6",1956,2287,1207,950,1548,1899,1663,1046,1679,1875,2562,1715,1911,3425,3497,1331,1841,1457,1483,2580,1226,2448,3690,1342,1352,3066,1520,1605
"ZNF692",1314,1732,2014,620,1968,2165,2552,1258,1894,1403,1450,1070,796,1063,873,985,808,1228,954,691,1491,1834,1509,1125,2095,1522,3264,1460
"ZNF672",1626,1849,2102,829,1897,1971,2291,1231,2114,1464,1676,1324,809,1199,1006,1082,882,1347,1058,732,1394,1905,1588,1174,1723,1483,2528,1248
"SH3BP5L",1716,1884,1977,959,2412,2002,2294,2038,2809,1395,1573,1765,998,1116,990,1094,978,1336,1010,1064,1648,1994,1586,1613,2458,1470,2969,1855
"Y_RNA",1767,2473,1194,1108,1380,1792,1682,1010,1650,1945,2568,1892,1952,2959,3536,1204,1641,1263,1333,2363,1100,2458,3271,1286,1505,3199,1723,2001
"OR2L5",0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"OR2W3",84,17,21,73,50,39,29,56,84,80,28,67,122,55,18,93,270,224,39,168,244,107,41,75,202,47,70,34
"TRIM58",10679,7043,2083,18806,9253,16920,3264,12868,17910,34488,3404,24514,31976,25825,5601,26350,48522,89038,9375,68242,53208,38549,9711,22312,27447,11618,12775,17263
"OR11L1",4,4,1,10,0,3,3,2,5,8,1,8,6,2,2,7,5,8,4,13,8,7,5,8,4,1,2,6
"GCSAML",40,194,16,21,25,171,37,29,86,161,42,74,19,177,90,61,398,578,495,146,101,430,213,60,53,457,70,60
"OR2C3",2,10,0,5,0,5,1,0,0,7,0,0,0,10,0,0,2,7,4,0,0,18,1,0,0,10,0,2
"OR2B11",23,1,11,12,36,17,42,82,30,27,49,115,20,50,32,39,24,19,34,68,17,25,14,62,33,22,13,60
"NLRP3",2479,1377,1757,2245,2776,2422,2610,3088,4621,2917,4242,3365,1932,3904,3267,2884,1905,1757,2871,2327,1049,1512,1777,3077,1909,1784,1469,3358
"ZNF496",564,466,819,352,576,491,813,532,678,359,414,476,172,290,258,283,272,355,344,286,343,538,471,458,488,384,631,509
"ZNF124",376,506,485,289,508,524,608,388,473,471,526,476,315,452,369,444,548,424,442,764,595,686,932,449,587,687,771,610
"ZNF670",177,68,86,52,146,106,84,62,186,80,83,85,101,78,62,72,129,74,85,111,147,149,96,101,158,107,98,99
"Metazoa_SRP",15176046,6764560,23649717,19806630,21531896,13941080,15016205,28935597,21896707,18532868,10444959,21143205,14732190,15615048,12939843,30257630,33166955,48043709,12246988,33113808,34549955,19059337,11724794,26495285,22656976,7933981,11775270,15717680
"AHCTF1",3401,4590,2819,1780,3231,4229,2989,1710,2999,3077,2717,2162,1935,3436,2257,1887,2914,2690,2071,3337,2714,4428,5133,1906,2944,5365,3520,2623
"SCCPDH",824,671,749,382,905,710,911,470,1067,559,798,644,428,470,610,514,779,465,504,961,878,862,1281,748,1318,882,1137,898
"5S_rRNA",16,69,50,87,29,45,40,106,23,19,26,14,78,31,27,7,15,29,16,31,15,42,56,18,66,45,95,160
"U1",465,718,962,511,376,485,445,337,353,390,510,333,377,723,681,312,392,564,362,658,266,545,474,338,541,450,436,404
"GJA8",0,0,0,0,0,1,2,0,1,2,0,2,0,0,0,3,0,0,0,0,3,2,0,0,1,1,1,0
"ID3",374,815,708,147,891,1161,1367,507,820,600,472,404,130,197,126,248,321,697,378,342,993,1035,823,491,1193,848,1980,784
"CNST",8385,6855,6475,3382,8196,6993,7464,4669,7506,5362,5859,5821,4166,5169,5547,3487,5187,5120,4663,7508,7077,9093,10282,5891,9131,9332,10049,7443
"TFB2M",431,623,559,210,590,512,645,250,497,447,492,332,275,395,397,233,423,370,432,451,437,516,903,335,508,674,814,506
"SMYD3",9067,8913,7394,2612,11362,10405,12252,4238,7140,6845,8575,4260,5913,7686,6071,3438,6146,3826,5805,5527,4863,10404,14174,5149,8634,14900,12386,9713
"NPR1",10,4,5,5,10,12,13,3,12,6,3,5,5,8,3,5,1,11,5,1,8,12,9,9,12,8,24,18
"KIF26B",1065,474,1168,248,1170,750,1462,471,1062,567,943,395,434,408,265,301,403,241,339,248,442,657,998,378,808,841,1244,678
"SH2D5",13,19,23,13,11,10,24,7,26,10,14,10,5,10,7,12,2,5,6,13,7,11,9,16,5,19,32,22
"EFCAB2",2756,4400,2356,865,3842,4059,3363,1696,3204,3213,2321,2272,1460,2859,1618,1165,1804,2683,1822,2941,3215,5836,4387,2566,4433,6102,5201,3559
"mml-mir-7180",0,1,0,0,4,3,12,0,5,2,6,3,3,7,2,2,4,2,2,7,2,8,3,1,1,6,1,2
"HNRNPU",6341,8184,7215,3701,5559,5606,5940,3491,5138,4759,6897,4586,4020,5578,6332,3375,4414,3802,3849,5296,4211,6222,8509,3934,5681,6770,6452,4232
"COX20",634,1043,439,279,580,715,735,410,691,578,802,525,457,797,791,344,760,581,534,1054,496,934,1639,472,726,1189,929,498
"PSEN2",222,174,98,145,229,170,162,112,251,155,128,187,219,151,115,187,715,283,241,295,415,204,210,144,289,123,219,148
"DESI2",1311,1946,1474,851,1430,1843,1749,1025,1456,1514,1731,1275,877,1742,1616,759,1313,1235,1213,1728,1297,2326,3084,1153,1848,2502,2431,1560
"COL8A2",69,73,45,26,82,113,85,76,102,72,36,60,51,57,26,32,33,61,34,60,170,115,35,99,211,74,104,148
"CATSPERE",561,512,1015,389,569,711,737,458,514,618,1015,362,476,891,1091,522,2147,1385,1037,1332,610,1042,1667,473,581,880,586,358
"COQ8A",1433,2109,2770,623,2158,2121,2706,1321,1835,1290,1366,1223,491,862,508,713,787,917,919,754,1128,1877,1607,1133,1544,1681,2796,1267
"ADPRS",853,943,1451,613,1226,1178,1195,1218,1682,853,1296,1250,794,1069,1138,1017,589,729,639,642,832,905,781,1089,1108,720,1174,1048
"CIART",15,25,26,3,29,3,10,12,6,9,4,7,5,5,7,4,12,10,3,12,5,10,5,6,7,15,18,10
