© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	dpi01	dpi03	dpi05	dpi07	dpi10	dpi15	dpi21	dpi28
Irritable Bowel Syndrome Signaling Pathway	N/A	-2.0	-2.236	1.698	-1.0	-0.577	-2.646	-2.449
Role of Tissue Factor in Cancer	N/A	N/A	-2.236	-1.134	-2.0	-1.89	-2.449	-2.449
NGF-stimulated transcription	N/A	N/A	-2.449	-2.236	N/A	-2.0	-2.449	-2.646
Activin Inhibin Signaling Pathway	N/A	N/A	-1.342	1.069	-1.0	-3.0	-2.646	-2.449
IL-8 Signaling	N/A	N/A	-2.0	-1.342	-1.0	-1.633	-2.236	-2.236
Pathogen Induced Cytokine Storm Signaling Pathway	N/A	N/A	0.0	3.157	N/A	-1.667	-2.646	-2.449
Neutrophil degranulation	N/A	N/A	N/A	3.441	2.449	3.771	N/A	N/A
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	N/A	N/A	-1.342	0.302	-1.342	-1.89	-2.449	-2.236
IL-33 Signaling Pathway	N/A	N/A	-1.342	-0.632	-2.0	-1.134	-2.236	-2.0
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	N/A	N/A	-0.816	1.5	-0.447	-1.89	-2.236	-2.0
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	N/A	N/A	-2.0	-0.707	N/A	-1.633	-2.236	-2.0
Cardiac Hypertrophy Signaling (Enhanced)	N/A	N/A	N/A	2.309	-0.447	-1.414	-2.236	-2.0
Interferon gamma signaling	N/A	N/A	3.162	4.472	N/A	N/A	N/A	N/A
Interferon alpha/beta signaling	N/A	N/A	3.207	4.379	N/A	N/A	N/A	N/A
HER-2 Signaling in Breast Cancer	N/A	N/A	N/A	-2.0	N/A	-1.134	-2.236	-2.0
Glycation Signaling Pathway	N/A	-1.0	-1.0	0.905	N/A	-1.134	-1.633	-1.342
S100 Family Signaling Pathway	N/A	-0.447	-1.414	0.816	0.0	0.302	-2.0	-2.0
LXR/RXR Activation	N/A	N/A	1.342	-1.265	0.447	1.633	2.236	N/A
Sheddase Signaling Pathway	-1.0	-1.0	-0.816	-1.265	N/A	0.0	-1.342	-1.342
Hematoma Resolution Signaling Pathway	N/A	N/A	2.0	0.905	N/A	1.414	1.342	1.0
Hepatic Fibrosis Signaling Pathway	N/A	N/A	-1.0	1.0	N/A	-2.449	-2.0	N/A
IL-6 Signaling	N/A	N/A	-1.342	0.632	-0.447	-2.0	-2.0	N/A
Phagosome Formation	N/A	N/A	0.447	2.837	1.342	1.633	N/A	N/A
Class I MHC mediated antigen processing and presentation	N/A	N/A	N/A	4.243	N/A	2.0	N/A	N/A
Coronavirus Pathogenesis Pathway	N/A	N/A	-1.633	-2.496	N/A	-1.0	N/A	-1.0
Multiple Sclerosis Signaling Pathway	N/A	N/A	N/A	2.837	N/A	0.707	-1.342	-1.0
ISG15 antiviral mechanism	N/A	N/A	2.449	3.162	N/A	N/A	N/A	N/A
Tumor Microenvironment Pathway	N/A	N/A	N/A	1.155	N/A	0.378	-2.0	-2.0
NAFLD Signaling Pathway	N/A	N/A	N/A	1.508	N/A	-0.378	-1.633	-2.0
Tuberculosis Active Signaling Pathway	N/A	N/A	1.0	-1.667	0.0	1.342	1.0	0.447
Systemic Lupus Erythematosus in B Cell Signaling Pathway	N/A	N/A	0.447	2.183	N/A	-0.816	-2.0	N/A
Serotonin Receptor Signaling	N/A	N/A	1.342	3.207	0.816	0.0	N/A	N/A
IL-17 Signaling	N/A	N/A	N/A	0.333	N/A	-0.333	-2.449	-2.236
G alpha (i) signalling events	N/A	N/A	0.447	1.941	N/A	-0.816	-2.0	N/A
DDX58/IFIH1-mediated induction of interferon-alpha/beta	N/A	N/A	2.0	3.0	N/A	N/A	N/A	N/A
Molecular Mechanisms of Cancer	N/A	N/A	-0.447	1.225	1.0	-0.277	-2.0	N/A
ISGylation Signaling Pathway	N/A	N/A	1.342	3.5	N/A	N/A	N/A	N/A
Osteoarthritis Pathway	N/A	N/A	N/A	0.378	-0.447	-1.0	-1.0	-2.0
Antimicrobial peptides	N/A	N/A	N/A	2.0	N/A	2.646	N/A	N/A
Wound Healing Signaling Pathway	N/A	N/A	-0.447	0.832	0.0	-0.333	-1.633	-1.342
Cachexia Signaling Pathway	N/A	N/A	0.0	2.138	0.0	0.333	-2.0	N/A
Hepatic Cholestasis	N/A	N/A	-1.342	0.302	N/A	-0.816	-2.0	N/A
Deubiquitination	N/A	N/A	N/A	2.449	N/A	2.0	N/A	N/A
NOD1/2 Signaling Pathway	N/A	N/A	-1.0	0.832	N/A	-0.447	-2.0	N/A
OAS antiviral response	N/A	N/A	2.0	2.236	N/A	N/A	N/A	N/A
Potassium Channels	N/A	N/A	2.0	2.236	N/A	N/A	N/A	N/A
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	N/A	N/A	1.667	2.5	N/A	N/A	N/A	N/A
p38 MAPK Signaling	N/A	N/A	N/A	2.121	1.0	-1.0	N/A	N/A
Neurovascular Coupling Signaling Pathway	N/A	N/A	1.342	1.667	1.0	N/A	N/A	N/A
HMGB1 Signaling	N/A	N/A	N/A	-1.0	N/A	-1.0	-2.0	N/A
Lung Ionic Balance Signaling Pathway	N/A	N/A	1.0	1.698	N/A	1.134	N/A	N/A
Interleukin-4 and Interleukin-13 signaling	N/A	N/A	0.0	1.265	0.0	-0.333	-0.816	-1.342
Interleukin-10 signaling	N/A	N/A	0.0	0.378	N/A	-1.342	-2.0	N/A
IL-10 Signaling	N/A	N/A	N/A	0.707	N/A	2.0	1.0	N/A
Sleep REM Signaling Pathway	N/A	N/A	-1.0	-1.414	N/A	-0.816	0.447	0.0
IL-27 Signaling Pathway	N/A	N/A	N/A	2.333	1.342	N/A	N/A	N/A
Glycosaminoglycan metabolism	N/A	N/A	N/A	1.633	N/A	2.0	N/A	N/A
Interleukin-1 family signaling	N/A	N/A	N/A	1.633	N/A	-2.0	N/A	N/A
PPAR Signaling	N/A	N/A	N/A	0.0	N/A	2.236	1.342	N/A
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	N/A	N/A	N/A	0.905	N/A	0.378	-2.0	N/A
Macrophage Alternative Activation Signaling Pathway	N/A	N/A	N/A	1.897	N/A	1.342	0.0	N/A
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	N/A	N/A	N/A	3.162	N/A	N/A	N/A	N/A
Eicosanoid Signaling	N/A	N/A	1.0	2.121	N/A	N/A	N/A	N/A
Class A/1 (Rhodopsin-like receptors)	N/A	0.0	0.0	1.698	N/A	1.414	N/A	N/A
Activation of IRF by Cytosolic Pattern Recognition Receptors	N/A	N/A	1.0	2.111	N/A	N/A	N/A	N/A
Necroptosis Signaling Pathway	N/A	N/A	N/A	3.0	N/A	N/A	N/A	N/A
Macrophage Classical Activation Signaling Pathway	N/A	N/A	N/A	1.5	-1.0	-0.447	N/A	N/A
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	N/A	N/A	N/A	1.633	N/A	-1.0	N/A	N/A
Neuroinflammation Signaling Pathway	N/A	N/A	-0.447	1.732	N/A	0.447	N/A	N/A
