"Gene","dpiAsymptomatic.log2FC","dpiAsymptomatic.padj","dpiRecovered.log2FC","dpiRecovered.padj","dpiSymptomatic.log2FC","dpiSymptomatic.padj"
"7SK",0.0133748262571518,0.966953040847426,-0.00606174095639309,0.984686375844347,-0.0769986068088602,0.80854396113098
"A1BG",-4.76357319743178e-05,0.999568372248234,-0.0097598648944506,0.961309674485145,-0.00848775140026144,0.972782624703418
"A1CF",0.00754082995358286,0.954832463169054,-0.0408725866765875,0.764015187320648,0.0434536904529488,0.832686905805671
"A2M",0.00869754960392337,0.95190075213693,0.0193290948776352,0.913436555783711,0.211051114674465,0.124389648309134
"A2ML1",0.0337040950310673,0.848771626675827,0.0704847918314628,0.78657622002057,0.0960219270881578,0.759367657429543
"A3GALT2",-0.0231723027323488,0.929198708219841,-0.164740251532758,0.536451594056033,-0.4387513594082,0.179585546108696
"A4GALT",-0.00342077859258769,0.993799863487298,0.065895938338719,0.827457889453887,0.0358708512230545,0.918824504640867
"AAAS",-0.0398053243651569,0.891102851033021,0.00972615915210987,0.984561069560812,-0.322126085147024,0.233968898523269
"AACS",-0.0222347472466138,0.964804546527482,0.0194451539255172,0.96477198642771,-0.303831990447747,0.190198347312781
"AADAC",-0.0118286299978139,0.948528735381525,-0.000601401077342084,0.998122278126152,0.0206622593749008,0.947377599793544
"AADACL2",0.00901253034732489,0.920836106825139,-0.00643320357031612,0.970421466452355,0.148337259746451,0.800534987450629
"AADAT",1.47712726563957,0.0294104999870759,1.84096964719373,0.00179853158138544,1.66031839180504,0.00162626402933069
"AAGAB",-0.137685622632778,0.465851662047383,-0.062997041285029,0.84903561419103,0.0758608998083533,0.821904361420122
"AAK1",0.047968577484014,0.870857559522112,-0.00745177458391896,0.992852011360731,0.130853443060388,0.61821803855885
"AAMDC",-0.0138781183696454,0.977016856791295,0.0189987106065324,0.975097224022227,-0.112076167695665,0.681463279044461
"AAMP",-0.00368798279248085,0.995546666235952,-0.114556496427211,0.696878693298609,-0.144088585295115,0.63834537571423
"AANAT",1.75019982234956,0.0232533517493682,1.24171766770644,0.061445075527421,3.12928450289039,7.65770021989121e-08
"AAR2",-0.0129405884840593,0.968184353215819,-0.0107733622345566,0.983483773508828,-0.137836770349523,0.596324907572014
"AARS1",-0.0619987275895087,0.837005660744777,-0.240632128216468,0.375500319172633,-0.0792346773916654,0.779290247973887
"AARS2",-0.045754202359644,0.884828198002324,-0.17713401803803,0.559040658431631,-0.445802698897033,0.0674766555798232
"AASDH",-0.0236190979819172,0.942564717974638,0.127574507041794,0.675368457727522,0.0156592082920073,0.970619409043046
"AASDHPPT",-0.00895332436107847,0.98502584418488,0.0782786578921877,0.819756510381129,0.171721730088806,0.518375758496287
"AASS",-0.00492821477127844,0.98865407351467,0.055186977029596,0.841702050507679,0.111865768288717,0.709930635910408
"AATF",0.00966361663024992,0.987401545152761,0.0315969830260364,0.938682881942003,0.102383231952906,0.754118500145642
"AATK",0.00657932143104388,0.97637902606328,-0.0485612390548934,0.792782164563822,-0.0210887953310307,0.943338905578627
"ABAT",-0.00272686988373067,0.99042214894891,0.0589853478971609,0.871815659955562,-0.139702531744252,0.621890186110993
"ABCA1",-0.0450971191573238,0.83646513496027,-0.761269205804499,0.0781231678569605,0.00468543726601977,0.995468549848211
"ABCA10",-0.0252725420570558,0.903246282405098,-0.00717826314010172,0.982828429285631,-0.115882215228486,0.701842139717593
"ABCA12",-0.0351037068159817,0.853406539075038,-0.0152443619170427,0.966529946033348,0.126947844476472,0.670923986815309
"ABCA13",0.00572709191920519,0.986512365480121,-0.0496216055659085,0.86214404996338,0.62207750537211,0.0843752726720441
"ABCA2",-0.0298596774703149,0.874832776949626,-0.146425363708767,0.540760650984473,-0.806944497162425,0.0621441460624623
"ABCA3",-0.0150424919349485,0.990811859614163,-0.0228703949653921,0.963114823802017,-0.27842433883987,0.282807180697672
"ABCA4",-0.00352156025944252,0.995546666235952,0.230951659041327,0.399069032501967,-0.00740684559659238,0.985435689635196
"ABCA5",-0.0565159111152242,0.808925797868014,-0.0161091032212127,0.967104235949859,-0.117035911049237,0.706248409226217
"ABCA6",-0.0066752957118769,0.980974585387922,0.0590125879604063,0.780406590539774,0.119448377002469,0.64702524910198
"ABCA7",-0.013495647866374,0.978595395099238,-0.12351410507021,0.672062912519962,-0.462701218786649,0.127579446932915
"ABCA8",-0.0307080760027923,0.905523150458478,0.00237896851175678,0.99538685441784,-0.143148344937064,0.636817983603986
"ABCA9",-0.0102165257026708,0.968258022964106,0.0341145930355305,0.888992504505325,0.159918516216069,0.532982261007532
"ABCB1",-0.135355805740535,0.331141170756087,-0.171507290152113,0.5067470561445,-0.184283232242653,0.537382233903735
"ABCB10",0.0152738504913079,0.96995310981922,0.0963042564283725,0.740998826703371,0.210908150416797,0.466679584855062
"ABCB11",0.00303312084189877,0.990606324014751,-0.0328175390132917,0.874907950942839,0.15224258716142,0.468159472693159
"ABCB5",-0.0121583375281534,0.961568088106866,-0.0498263170799022,0.833350402234333,-0.080885847798234,0.784996538485182
"ABCB6",0.0458168754239563,0.788520289533877,0.0615567408966787,0.832862176322718,0.437056373392279,0.166160843443174
"ABCB7",-0.0243597082523178,0.960611534160763,-0.0521765500931633,0.870224605460461,0.216664149686953,0.438026120316421
"ABCB8",0.00554911470224425,0.990978755045539,0.0128451814513832,0.977022202150294,-0.0978859962745796,0.761255642955299
"ABCB9",-0.019527890771109,0.9371998602265,-0.0254626755305392,0.936883945587233,-0.140852214674559,0.639928985910162
"ABCC1",0.0207216277210423,0.958890624778812,0.0391841576973096,0.931836518680008,0.0878775254911182,0.791557516589293
"ABCC10",0.0104938943928434,0.96995310981922,-0.041343037893633,0.924794952661079,-0.332669698371939,0.18772096168292
"ABCC11",0.022465678549191,0.892130504289323,0.0259820659465999,0.92633131152699,0.159835832383742,0.546929186102977
"ABCC12",0.00357547828064329,0.985460418468196,0.00297803912783091,0.990507980842103,0.168497669206443,0.361053802114145
