"Status"	"sample02"	"sample03"	"sample04"	"sample05"	"sample06"	"sample07"	"sample08"	"sample09"	"sample10"	"sample11"	"sample12"	"sample13"	"sample14"	"sample15"	"sample16"	"sample17"	"sample18"	"sample19"	"sample20"	"sample21"	"sample22"	"sample23"	"sample24"	"sample25"	"sample26"	"sample27"	"sample28"	"sample29"	"sample30"	"sample31"	"sample32"	"sample33"	"sample34"	"sample35"	"sample36"	"sample37"
"Assigned"	44006301	39199831	53187936	39252471	50985659	46457095	45494534	52643674	27507023	60343240	16762815	32183985	58890946	47022080	41209312	49263342	40320514	49745641	45242791	54127853	23837167	28244158	33378700	35613076	61612033	78864031	33206439	63092787	62080882	53999759	46938087	49676394	54866636	40533078	47693337	42866904
"Unassigned_Unmapped"	4478697	4191064	5333859	2883422	5187898	4030309	4722121	4082720	10632218	4278433	9358426	14907941	6216221	3922505	5222926	4130844	3592262	4553725	4342658	3744883	11293370	15368315	6320463	14259945	3582117	4111041	2359664	4022685	3541433	4373457	3553608	3579886	6751886	3837708	8368674	9732198
"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_NoFeatures"	5199843	5804267	6046192	2918971	5458022	5553646	5717027	4024560	4396782	4046362	2802138	4187318	6286392	4836551	5422263	4588711	4303598	6032915	5825004	3698128	2705613	4245001	5894549	5266389	3986782	4863161	3760474	4644901	4157479	6100906	7637771	3997908	5244496	6342407	7377579	5433049
"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Ambiguity"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
