Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
sample02	53684841	44006301	4478697	0	0	0	0	0	0	0	5199843	0	0	81.97155878695813
sample03	49195162	39199831	4191064	0	0	0	0	0	0	0	5804267	0	0	79.68228867708577
sample04	64567987	53187936	5333859	0	0	0	0	0	0	0	6046192	0	0	82.37508782796651
sample05	45054864	39252471	2883422	0	0	0	0	0	0	0	2918971	0	0	87.1214948068648
sample06	61631579	50985659	5187898	0	0	0	0	0	0	0	5458022	0	0	82.72651752115584
sample07	56041050	46457095	4030309	0	0	0	0	0	0	0	5553646	0	0	82.89833077717138
sample08	55933682	45494534	4722121	0	0	0	0	0	0	0	5717027	0	0	81.33656210939233
sample09	60750954	52643674	4082720	0	0	0	0	0	0	0	4024560	0	0	86.65489269518302
sample14	71393559	58890946	6216221	0	0	0	0	0	0	0	6286392	0	0	82.4877577541694
sample15	55781136	47022080	3922505	0	0	0	0	0	0	0	4836551	0	0	84.29745855301334
sample16	51854501	41209312	5222926	0	0	0	0	0	0	0	5422263	0	0	79.47104148201137
sample17	57982897	49263342	4130844	0	0	0	0	0	0	0	4588711	0	0	84.96185004347058
sample18	48216374	40320514	3592262	0	0	0	0	0	0	0	4303598	0	0	83.62411076370032
sample19	60332281	49745641	4553725	0	0	0	0	0	0	0	6032915	0	0	82.45277681445526
sample20	55410453	45242791	4342658	0	0	0	0	0	0	0	5825004	0	0	81.65028176181848
sample21	61570864	54127853	3744883	0	0	0	0	0	0	0	3698128	0	0	87.91147221841811
sample26	69180932	61612033	3582117	0	0	0	0	0	0	0	3986782	0	0	89.05926997340828
sample27	87838233	78864031	4111041	0	0	0	0	0	0	0	4863161	0	0	89.78326214736127
sample28	39326577	33206439	2359664	0	0	0	0	0	0	0	3760474	0	0	84.43765395600029
sample29	71760373	63092787	4022685	0	0	0	0	0	0	0	4644901	0	0	87.92148697443365
sample30	69779794	62080882	3541433	0	0	0	0	0	0	0	4157479	0	0	88.96684619046023
sample31	64474122	53999759	4373457	0	0	0	0	0	0	0	6100906	0	0	83.75415953706201
sample32	58129466	46938087	3553608	0	0	0	0	0	0	0	7637771	0	0	80.74749387857786
sample33	57254188	49676394	3579886	0	0	0	0	0	0	0	3997908	0	0	86.7646468062738
sample34	66863018	54866636	6751886	0	0	0	0	0	0	0	5244496	0	0	82.0582702384149
sample35	50713193	40533078	3837708	0	0	0	0	0	0	0	6342407	0	0	79.92610128098225
sample36	63439590	47693337	8368674	0	0	0	0	0	0	0	7377579	0	0	75.17913813755732
sample37	58032151	42866904	9732198	0	0	0	0	0	0	0	5433049	0	0	73.86750837479727
