Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
sample02	54392455	47234538	4135078	0	0	0	0	0	0	0	3022839	0	0	86.84023914713906
sample03	49869914	42210477	3912028	0	0	0	0	0	0	0	3747409	0	0	84.6411666160082
sample04	65691968	57544289	4868521	0	0	0	0	0	0	0	3279158	0	0	87.59714581849641
sample05	45698391	41237639	2633713	0	0	0	0	0	0	0	1827039	0	0	90.23871103032928
sample06	62368616	54535452	4718697	0	0	0	0	0	0	0	3114467	0	0	87.44053579768388
sample07	56838505	49589811	3718937	0	0	0	0	0	0	0	3529757	0	0	87.24686020506697
sample08	56694251	48967019	4282048	0	0	0	0	0	0	0	3445184	0	0	86.37034291184126
sample09	61560507	55561195	3682399	0	0	0	0	0	0	0	2316913	0	0	90.25460917662683
sample14	72379982	63139508	5746109	0	0	0	0	0	0	0	3494365	0	0	87.23338450125617
sample15	56572246	50051270	3633884	0	0	0	0	0	0	0	2887092	0	0	88.47318877882275
sample16	52533402	44244484	4974394	0	0	0	0	0	0	0	3314524	0	0	84.22162341589832
sample17	58848669	52432045	3727506	0	0	0	0	0	0	0	2689118	0	0	89.09639910462546
sample18	48752060	43007313	3341141	0	0	0	0	0	0	0	2403606	0	0	88.21640152231515
sample19	61085248	53188419	4287984	0	0	0	0	0	0	0	3608845	0	0	87.07244505252724
sample20	56050344	48160502	4131372	0	0	0	0	0	0	0	3758470	0	0	85.92365106626286
sample21	62478502	56870010	3412095	0	0	0	0	0	0	0	2196397	0	0	91.02332511109181
sample26	70151367	64132833	3300483	0	0	0	0	0	0	0	2718051	0	0	91.42064615790024
sample27	88995210	82148969	3709247	0	0	0	0	0	0	0	3136994	0	0	92.30718035274033
sample28	39919287	35304290	2162074	0	0	0	0	0	0	0	2452923	0	0	88.43917978795564
sample29	72666216	65831474	3748458	0	0	0	0	0	0	0	3086284	0	0	90.59433341072831
sample30	70763214	65018848	3101083	0	0	0	0	0	0	0	2643283	0	0	91.88227092115969
sample31	65321008	57509303	4027792	0	0	0	0	0	0	0	3783913	0	0	88.04105258142985
sample32	58702673	50813258	3288956	0	0	0	0	0	0	0	4600459	0	0	86.560382011906
sample33	57927637	52429758	3192810	0	0	0	0	0	0	0	2305069	0	0	90.5090570153932
sample34	67720971	58000559	6331716	0	0	0	0	0	0	0	3388696	0	0	85.64637828361911
sample35	51312885	43682689	3628081	0	0	0	0	0	0	0	4002115	0	0	85.13005846387316
sample36	64205563	52119321	7777905	0	0	0	0	0	0	0	4308337	0	0	81.17570902695768
sample37	58689463	46085959	9428054	0	0	0	0	0	0	0	3175450	0	0	78.52509913065656
