Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample02	44831206.0	150.0	33918312.0	75.66	147.66	5529000.0	0.0	5440389.0	34967.0	3132.0	50512.0	1.21	0.03	1.77	0.01	1.93	6777816.0	15.12	20266.0	0.05	0.0	9.12	0.06	0	4087918	26894
sample03	44353962.0	150.0	36484399.0	82.26	147.68	5907828.0	0.0	5819460.0	36599.0	3425.0	48344.0	1.25	0.02	1.87	0.01	1.92	3957535.0	8.92	22677.0	0.05	0.0	8.72	0.05	0	3867177	22174
sample04	50140802.0	150.0	35865311.0	71.53	147.52	5756605.0	0.0	5667587.0	34961.0	2994.0	51063.0	1.37	0.03	1.58	0.01	1.82	9406970.0	18.76	29099.0	0.06	0.0	9.61	0.04	0	4819362	20060
sample05	33779865.0	150.0	22455815.0	66.48	147.42	4584369.0	0.0	4520043.0	25268.0	2483.0	36575.0	1.18	0.02	1.83	0.01	1.87	8690337.0	25.73	17220.0	0.05	0.0	7.72	0.03	0	2606365	10128
sample06	48012023.0	150.0	34618936.0	72.1	147.47	5442804.0	0.0	5348106.0	36343.0	3018.0	55337.0	1.25	0.02	1.89	0.01	1.9	8674390.0	18.07	28643.0	0.06	0.0	9.7	0.07	0	4656451	33603
sample07	46950183.0	150.0	36823875.0	78.43	147.77	6019650.0	0.0	5935208.0	36326.0	3099.0	45017.0	1.28	0.02	1.91	0.01	1.91	6407371.0	13.65	27281.0	0.06	0.0	7.8	0.06	0	3663475	28181
sample08	45748576.0	150.0	34933452.0	76.36	147.43	5620817.0	0.0	5524753.0	35374.0	3536.0	57154.0	1.26	0.02	1.88	0.01	1.9	6533076.0	14.28	29343.0	0.06	0.0	9.23	0.07	0	4220695	32010
sample09	43273650.0	150.0	28249386.0	65.28	147.4	5033350.0	0.0	4951421.0	30901.0	2814.0	48214.0	1.22	0.02	1.88	0.01	1.88	11341865.0	26.21	27791.0	0.06	0.0	8.4	0.05	0	3632983	21625
sample14	56870499.0	150.0	41894530.0	73.67	147.35	7471197.0	0.0	7354181.0	46865.0	3582.0	66569.0	1.27	0.02	1.87	0.01	1.92	9229860.0	16.23	40457.0	0.07	0.0	9.97	0.06	0	5671520	34132
sample15	44369693.0	150.0	32896411.0	74.14	147.63	5646112.0	0.0	5563394.0	33353.0	3081.0	46284.0	1.2	0.02	1.92	0.01	1.9	7839398.0	17.67	23813.0	0.05	0.0	8.09	0.05	0	3587896	22175
sample16	44035196.0	150.0	34160248.0	77.57	147.0	5803679.0	0.0	5710947.0	34472.0	3378.0	54882.0	1.41	0.02	1.97	0.02	1.86	4900554.0	11.13	27134.0	0.06	0.0	11.19	0.04	0	4929638	17622
sample17	45380505.0	150.0	32213383.0	70.99	147.49	5954985.0	0.0	5864831.0	34915.0	3323.0	51916.0	1.2	0.02	1.92	0.01	1.9	9439616.0	20.8	28068.0	0.06	0.0	8.11	0.04	0	3681281	18157
sample18	38467970.0	150.0	28835491.0	74.96	147.29	5167004.0	0.0	5088954.0	30240.0	2687.0	45123.0	1.23	0.02	1.92	0.01	1.87	6291338.0	16.35	19779.0	0.05	0.0	8.59	0.04	0	3305968	15394
