"ID","Position","Depth","Frequency"
"sample18",1,0,0
"sample18",2,0,0
"sample18",3,0,0
"sample18",4,0,0
"sample18",5,0,0
"sample18",6,0,0
"sample18",7,0,0
"sample18",8,0,0
"sample18",9,0,0
"sample18",10,0,0
"sample18",11,0,0
"sample18",12,0,0
"sample18",13,0,0
"sample18",14,0,0
"sample18",15,0,0
"sample18",16,0,0
"sample18",17,0,0
"sample18",18,0,0
"sample18",19,0,0
"sample18",20,0,0
"sample18",21,0,0
"sample18",22,0,0
"sample18",23,0,0
"sample18",24,0,0
"sample18",25,0,0
"sample18",26,0,0
"sample18",27,0,0
"sample18",28,0,0
"sample18",29,0,0
"sample18",30,0,0
"sample18",31,0,0
"sample18",32,0,0
"sample18",33,0,0
"sample18",34,0,0
"sample18",35,0,0
"sample18",36,0,0
"sample18",37,0,0
"sample18",38,0,0
"sample18",39,0,0
"sample18",40,0,0
"sample18",41,0,0
"sample18",42,0,0
"sample18",43,0,0
"sample18",44,0,0
"sample18",45,0,0
"sample18",46,0,0
"sample18",47,0,0
"sample18",48,0,0
"sample18",49,0,0
"sample18",50,0,0
"sample18",51,0,0
"sample18",52,0,0
"sample18",53,1,0
"sample18",54,1,0
"sample18",55,1,0
"sample18",56,1,0
"sample18",57,1,0
"sample18",58,2,0
"sample18",59,2,0
"sample18",60,2,0
"sample18",61,2,0
"sample18",62,2,0
"sample18",63,2,0
"sample18",64,2,0
"sample18",65,2,0
"sample18",66,2,0
"sample18",67,2,0
"sample18",68,2,0
"sample18",69,2,0
"sample18",70,2,0
"sample18",71,2,0
"sample18",72,2,0
"sample18",73,2,0
"sample18",74,2,0
"sample18",75,2,0
"sample18",76,2,0
"sample18",77,2,0
"sample18",78,2,0
"sample18",79,2,0
"sample18",80,2,0
"sample18",81,2,0
"sample18",82,2,0
"sample18",83,2,0
"sample18",84,11,0
"sample18",85,11,0
"sample18",86,12,0
"sample18",87,12,0
"sample18",88,13,0
"sample18",89,13,0
"sample18",90,13,0
"sample18",91,13,0
"sample18",92,13,0
"sample18",93,16,0
"sample18",94,20,0
"sample18",95,20,0
"sample18",96,20,0
"sample18",97,21,0
"sample18",98,21,0
"sample18",99,21,0
"sample18",100,22,0
"sample18",101,26,0
"sample18",102,26,0
"sample18",103,26,0
"sample18",104,26,0
"sample18",105,26,0
"sample18",106,26,0
"sample18",107,26,0
"sample18",108,26,0
"sample18",109,26,0
"sample18",110,26,0
"sample18",111,26,0
"sample18",112,26,0
"sample18",113,26,0
"sample18",114,26,0
"sample18",115,26,0
"sample18",116,26,0
"sample18",117,27,0
"sample18",118,27,0
"sample18",119,27,0
"sample18",120,33,0
"sample18",121,33,0
"sample18",122,35,0
"sample18",123,35,0
"sample18",124,40,0
"sample18",125,40,0
"sample18",126,40,0
"sample18",127,41,0
"sample18",128,40,0
"sample18",129,41,0
"sample18",130,41,0
"sample18",131,41,0
"sample18",132,41,0
"sample18",133,40,0
"sample18",134,40,0
"sample18",135,40,0
"sample18",136,40,0
"sample18",137,41,0
"sample18",138,41,0
"sample18",139,41,0
"sample18",140,41,0
"sample18",141,41,0
"sample18",142,41,0
"sample18",143,41,0
"sample18",144,41,0
"sample18",145,41,0
"sample18",146,49,0
"sample18",147,49,0
"sample18",148,49,0
"sample18",149,50,0
"sample18",150,52,0
"sample18",151,52,0
"sample18",152,52,0
"sample18",153,52,0
"sample18",154,52,0
"sample18",155,52,0
"sample18",156,52,0
"sample18",157,52,0
"sample18",158,52,0
"sample18",159,43,0
"sample18",160,43,0
"sample18",161,42,0
"sample18",162,42,0
"sample18",163,41,0
"sample18",164,41,0
"sample18",165,41,0
"sample18",166,41,0
"sample18",167,41,0
"sample18",168,38,0
"sample18",169,34,0
"sample18",170,37,0
"sample18",171,37,0
"sample18",172,36,0
"sample18",173,38,0
"sample18",174,38,0
"sample18",175,37,0
"sample18",176,33,0
"sample18",177,33,0
"sample18",178,33,0
"sample18",179,33,0
"sample18",180,33,0
"sample18",181,33,0
"sample18",182,33,0
"sample18",183,33,0
"sample18",184,33,0
"sample18",185,33,0
"sample18",186,33,0
"sample18",187,34,0
"sample18",188,34,0
"sample18",189,35,0
"sample18",190,35,0
"sample18",191,41,0
"sample18",192,42,0
"sample18",193,42,0
"sample18",194,44,0
"sample18",195,49,0
"sample18",196,49,0
"sample18",197,50,0
"sample18",198,50,0
"sample18",199,45,0
"sample18",200,49,0
"sample18",201,49,0
"sample18",202,48,0
"sample18",203,48,0
"sample18",204,47,0
"sample18",205,48,0
"sample18",206,48,0
"sample18",207,48,0
"sample18",208,48,0
"sample18",209,48,0
"sample18",210,48,0
"sample18",211,57,0
"sample18",212,56,0
"sample18",213,56,0
"sample18",214,56,0
"sample18",215,56,0
"sample18",216,56,0
"sample18",217,56,0
"sample18",218,56,0
"sample18",219,56,0
"sample18",220,56,0
"sample18",221,49,0
"sample18",222,49,0
"sample18",223,49,0
"sample18",224,48,0
"sample18",225,47,0
"sample18",226,47,0
